id,grau,tipo,notacao,funcao,chm,prioridade,comentario,secundarias_json
28,bIII,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 1, ""comentario"": null}]"
29,bIII,7,,,,,,"[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IV7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bVII7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": null, ""funcao"": null, ""referencia"": ""bVII"", ""prioridade"": 5, ""comentario"": null}]"
30,bIII,Maj7,,T,bIIIMaj7,1,,"[{""grau"": ""bIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}]"
31,III,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}]"
32,III,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}]"
33,III,m7,,T,MIII,1,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}]"
34,III,7,,,,,,"[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bIII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 1, ""comentario"": ""Muitas vezes o III7 é utilizado em cadência de engano. Ou seja, no lugar de ir para o VI vai para o IV ou o II.""}]"
35,III,Maj7,,T,IIIMaj7 (Mediante),1,,"[{""grau"": ""bIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental."", ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": ""Esta explicação é razoável somente se esta subdominante secundária estiver preprando um acorde maior.""}, {""grau"": ""bVIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": null}]"
36,IV,dim7,"Este acorde pode ser, na verdade, uma inversão do VIIdim. Assim, na partitura devem ser notadas as notas deste acorde do sétimo grau mas com a devida inversão do baixo.",D,VIIdim7 (e.m),1,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bIII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""#IV"", ""prioridade"": 5, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}]"
37,IV,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": 4, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bV"", ""prioridade"": 3, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}]"
38,IV,m7,,,IVm7 (e.m.),1,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": 1, ""comentario"": null}]"
39,IV,7,,S,IV7 (e.m.),1,,"[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": null, ""funcao"": null, ""referencia"": ""I"", ""prioridade"": 4, ""comentario"": null}]"
40,IV,Maj7,,S,IVMaj7,1,,"[{""grau"": ""bIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}]"
41,#IV,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}]"
42,#IV,m7(b5),,S,#IVm7(b5),2,"Na verdade este acorde pode ser considerado o  II7 com nona e sem a fundamental. De qualquer forma, um ou outro, normalmente representam uma dominante secundária do V, no caso seria a ""dominante da dominante"". Mas para isso ocorrer ele deveria preceder um acorde de função dominante (principal). Se não for este o caso é possível pensar no #IVm7(b5) como acorde de uso autônomo, neste caso, tomando a função de subdominante (principal).","[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 2, ""comentario"": null}]"
43,#IV,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 1, ""comentario"": ""O mais adequado seria que esta subdominante secundária fosse com a quinta diminuta já que prepara um acorde cujo destino no campo harmônico seria menor.""}, {""grau"": ""IVm7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}]"
44,#IV,7,,,,,,"[{""grau"": ""bII7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IV7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 5, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""bVII7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": null, ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}]"
45,#IV,Maj7,,,,,,"[{""grau"": ""bIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 3, ""comentario"": null}]"
